1
H3 H7
C3 H9
I11 M12
I5 B5
M12 L1
H4 M7
E3 L6
H4 C12
E3 G6
H4 I5
H5 N4
H4 I10
H5 B7
I5 D9
E8 F4
H4 C5
F4 M12
C3 N8
H5 L2
B4 F12
H5 H10
I5 H7
M12 D9
F12 F7
H5 M4
H4 L11
D9 B6
C3 I1
L1 I10
C3 I7
E3 N9
I5 L9
H5 C5
I5 D12
B6 M9
H4 F11
H5 E11
I5 I8
M9 D6
C3 M4
E3 A7
F7 G1
D6 L2
H4 N6
I10 I7
I5 F6
L2 G9
H4 N8
G9 L9
H4 A4
H5 D6
C3 I1
L9 M2
C3 F6
H5 B5
C3 F8
L6 H10
G10 N2
H5 B1
N2 A6
E3 I9
C3 D4
M2 B12
C3 B10
I7 G2
H4 M8
H5 D6
I5 I2
B12 M1
H4 A6
G2 N7
C3 G1
N7 D9
C3 H3
H5 F1
C3 C9
M1 F10
H4 E12
H5 A9
H4 G11
F10 D12
C3 M9
H10 C6
H4 E5
C6 A4
A6 F10
D12 F7
C3 L4
E3 G2
C3 D8
A4 L2
H4 D6
L2 M10
H4 L1
D9 C4
F10 L11
C4 F12
H4 D5
F12 A8
C3 A1
E3 I3
I5 L11
E3 L8
H4 N2
A8 N6
I5 E3
M10 L7
H4 F5
N6 G6
L11 A9
G6 C10
C3 E8
F7 B9
C3 L6
E3 H4
C3 C1
H5 G4
H4 B1
C10 C11
H4 M5
H5 E7
I5 B12
C11 B1
A9 A6
B1 F12
C3 D1
B9 D1
C3 L3
E3 I2
I5 N3
D1 D2
H4 H6
H5 L5
A6 H2
E3 A9
H4 I11
F12 F1
H4 G12
D2 L11
I5 C11
H5 I3
C3 G12
L11 F5
H4 L3
H5 F11
H4 A2
E3 L12
I5 F8
F5 F10
I5 C11
F10 D12
C3 H2
E3 I5
I5 B9
E3 L11
C3 L4
E3 G2
H2 H10
H5 F3
I5 N12
F1 C10
C3 H11
H5 M11
H10 L9
D12 L9
H4 G4
C10 A7
H4 I9
E3 L3
H4 C12
E3 D11
I5 L4
E3 M2
I5 N6
H5 A6
C3 B7
H5 H1
C3 F11
A7 H11
H4 I12
H5 L1
I5 F9
H5 H4
I5 C11
L9 E10
I5 H3
H5 C11
I5 D7
E10 M10
C3 A12
H5 M7
I5 E12
H5 L10
L9 E8
H11 I3
E8 L7
M10 M5
H4 I12
H5 F7
I5 C5
I3 N4
I5 B11
N4 A5
I5 I7
H5 C1
L7 N11
H5 L5
I5 I9
E3 A4
I5 A9
A5 B5
H4 A2
E3 L4
H4 B4
M5 D10
H4 G2
E3 H10
C3 N3
E3 L2
I5 F3
E3 N4
I5 I12
B5 A6
I5 E4
A6 B11
N11 N4
B11 D8
H4 L2
H5 A2
I5 G2
E3 G2
H4 A6
E3 M10
C3 G10
D10 F12
N4 D6
E3 D12
I5 M9
H5 A1
I5 M11
E3 M12
C3 I5
D8 A6
D6 A10
F12 D7
I5 G6
E3 H9
A10 E5
D7 G12
H4 H6
H5 E7
H4 N8
E3 G2
C3 D7
E3 L11
I5 L2
G12 F7
H4 I6
H5 I9
C3 E3
E3 G5
C3 D10
F7 L8
H4 B8
A6 F1
I5 G3
H5 F4
C3 I5
F1 M12
C3 G4
E3 A8
E5 N9
H5 M6
N9 E9
E3 H8
I5 D10
L8 I9
I5 C8
M12 I4
C3 I6
E3 E7
H4 A12
I9 G11
E9 H7
H5 F5
C3 E9
G11 F6
C3 M12
E3 N12
H4 H10
E3 B10
I5 L7
I4 C7
C3 N4
E3 B10
I5 C4
F6 I1
C3 L6
C7 F7
H4 B10
I1 D9
C3 C9
E3 A11
C3 M3
E3 N8
I5 M11
E3 L12
C3 L1
F7 C11
H7 N2
D9 I1
H4 M7
I1 B12
I5 N5
C11 M12
I5 H4
E3 F6
C3 B7
M12 M7
H4 E10
H5 G5
H4 G8
H5 D10
I5 F4
E3 H8
H4 E11
E3 C2
I5 A10
B12 D6
H4 F9
H5 N3
I5 L6
H5 I3
C3 C12
M7 H12
H4 E1
D6 F12
I5 N4
E3 M8
C3 E11
E3 M7
C3 N6
E3 N1
C3 H7
F12 I9
I5 E6
E3 F9
I5 H7
H5 B1
I5 E11
E3 L11
C3 N3
I9 L10
I5 N10
H12 E5
I5 H5
E5 E9
C3 L7
E3 A8
C3 D8
E9 E2
I5 A6
L10 B12
I5 G8
E2 A3
C3 B7
E3 C6
C3 M6
B12 E11
I5 H5
E3 B12
C3 G11
E3 L6
H4 A5
A3 C12
I5 L12
E11 H5
I5 B4
E3 G1
I5 A6
H5 E2
C3 B6
C12 A4
H4 G6
E3 L1
C3 E10
E3 F7
H4 M11
A4 H11
C3 D10
E3 G8
I5 E8
E3 A1
H4 H9
E2 B10
H4 I6
H11 D2
H4 A4
D2 C8
C3 H6
E3 N5
I5 I8
C8 M11
C3 G1
B10 E4
H4 M3
E3 N5
I5 G12
E3 G6
C3 E9
M11 L7
C3 C10
L7 I11
C3 E12
E4 C5
H4 E11
E3 G4
H4 I3
C5 M10
I5 F1
M10 G8
I5 B3
G8 C10
I5 N9
I11 L8
H4 A7
C10 F10
I5 I6
F10 B8
H4 B12
L8 N3
C3 B1
N3 F7
I5 E11
E3 B11
C3 G4
B8 L1
H4 H11
F7 B10
C3 D12
B10 N6
C3 D12
E3 D7
H4 N3
N6 I10
I5 G12
L1 L9
I5 G12
I10 B10
C3 I10
B10 E5
I5 H9
L9 L2
H4 F7
E3 G5
C3 F4
L2 H12
I5 B5
E5 M9
H4 I2
M9 C6
C3 H10
H12 E5
C3 C7
E5 B8
C3 C8
C6 F10
I5 D10
F10 G11
I5 L2
G11 I3
C3 G2
I3 A9
C3 L3
E3 E7
I5 N8
A9 F11
H4 H12
E3 G12
I5 A10
E3 L2
C3 I3
B8 B4
H4 I3
E3 C1
H4 A8
F11 B8
H4 M2
B4 F4
H4 D3
B8 A6
C3 A3
E3 E3
C3 D9
E3 D1
I5 N4
A6 A8
C3 N12
F4 C6
C3 G4
A8 B1
H4 N1
E3 L10
I5 A6
C6 H8
I5 N6
H8 B11
C3 F2
E3 B7
I5 B5
E3 H10
I5 H3
B11 M11
C3 N2
B1 F9
C3 L3
M11 F8
I5 E6
E3 L8
H4 L9
F9 M3
C3 C8
E3 F5
C3 C10
M3 I2
H4 I10
E3 M7
I5 D2
E3 L4
H4 A5
I2 A1
H4 E2
A1 B9
C3 I11
F8 M3
H4 A4
M3 C8
H4 C4
E3 D10
C3 G11
E3 C4
H4 A8
E3 F12
I5 G8
E3 M4
C3 E3
E3 N12
I5 M9
B9 N3
C3 E12
E3 M6
C3 N11
C8 M8
H4 L5
M8 I11
H4 M8
I11 F12
C3 H7
E3 L9
C3 H5
E3 A4
C3 C6
N3 F4
H4 N11
F12 E6
I5 G2
F4 B2
H4 A8
B2 H7
H4 I2
H7 F4
H4 E1
E6 I10
H4 D8
F4 E8
I5 L10
E8 A6
H4 L12
E3 F12
I5 F7
E3 H7
I5 E6
E3 D4
H4 G8
I10 F9
I5 F10
A6 I6
C3 H4
F9 E7
C3 B8
I6 F12
I5 G8
F12 A8
H4 I7
A8 D6
H4 G2
E7 G10
I5 I9
E3 I7
H4 C10
G10 B1
I5 G4
B1 E11
I5 C10
D6 I12
C3 F1
I12 I3
C3 M5
I3 F12
I5 E11
E3 F3
C3 L7
E3 C6
I5 L12
F12 A8
I5 L8
A8 G1
I5 A7
G1 F5
I5 N7
E3 C11
C3 A1
F5 N10
H4 N6
E3 L12
I5 I3
E3 I12
H4 L2
N10 D4
C3 G10
D4 E2
H4 I5
E2 M12
C3 H2
E3 D5
C3 D3
E3 F12
H4 C10
E3 M11
C3 M5
M12 B11
I5 A11
E3 H5
I5 N11
E3 L12
I5 N9
B11 E5
C3 A12
E5 M8
C3 M7
M8 L1
I5 G3
E3 M9
I5 F11
L1 I10
H4 M5
E3 E6
I5 C5
I10 F4
C3 I8
F4 E7
H4 D5
E3 C7
C3 I2
E7 L5
C3 C9
E3 G12
I5 D2
E3 L8
I5 B5
L5 H8
H4 B7
H8 E8
I5 C8
E3 E9
I5 N7
E3 F3
H4 H6
E8 F9
I5 N12
E3 C8
I5 I4
E3 D3
H4 N2
F9 D11
H4 H12
E3 G6
H4 N2
E3 N7
I5 E12
E3 B9
C3 E7
E3 N7
C3 B7
E3 M5
H4 H4
D11 L3
C3 N8
L3 C4
H4 G3
E3 E4
C3 C5
C4 A6
H4 L5
E3 E5
C3 G12
A6 I10
H4 N10
I10 F8
C3 H7
F8 B6
C3 M2
E3 E5
H4 M9
B6 I7
H4 B8
E3 G1
H4 E11
E3 N11
C3 L7
E3 A6
C3 N1
I7 C8
C3 D11
C8 C9
H4 I7
E3 A12
C3 I1
C9 G4
H4 I6
G4 A5
C3 A1
A5 I9
H4 B6
E3 L8
C3 I11
I9 A3
H4 H12
A3 E1
C3 M5
E3 A4
C3 M4
E3 E5
H4 N4
E3 N12
C3 H6
E1 A11
H4 H1
A11 L8
H4 A1
L8 D7
C3 N1
E3 L5
C3 I11
E3 D8
H4 I7
E3 N6
H4 M6
E3 I1
H4 C6
E3 H3
H4 D6
D7 I6
H4 L4
I6 H10
C3 H12
H10 C11
H4 I10
E3 F5
H4 G5
C11 D4
C3 M4
E3 C5
H4 I9
E3 B9
H4 L5
E3 N1
H4 E3
E3 M8
C3 L5
D4 B8
C3 I2
E3 E5
H4 L9
B8 L6
H4 G11
E3 H3
H4 H11
L6 F2
C3 H2
F2 M1
C3 H9
E3 H7
H4 E10
M1 C12
C3 G3
C12 B8
C3 E1
E3 D5
H4 A12
B8 F4
H4 D4
F4 M8
C3 M5
E3 N10
H4 I6
E3 E9
C3 M11
E3 G7
C3 F2
M8 N7
H4 L9
N7 B12
C3 F6
B12 F1
C3 E5
E3 L12
C3 G12
E3 G3
C3 E5
E3 E12
C3 D9
E3 G1
C3 N5
E3 E4
H4 B12
F1 F11
H4 A10
F11 D6
C3 C4
D6 N9
H4 E6
E3 G1
C3 G4
E3 G3
H4 L9
N9 I12
H4 M9
E3 F4
C3 E8
E3 L11
H4 B10
I12 I11
H4 C12
I11 D9
H4 B8
D9 M10
C3 E6
M10 D7
H4 M6
E3 I11
H4 C4
E3 H12
H4 M11
E3 D4
H4 E7
E3 H9
H4 G4
D7 I6
C3 H7
E3 C4
C3 N8
E3 G5
C3 F2
E3 N8
H4 N4
I6 I10
H4 L1
E3 E11
H4 I12
E3 H1
C3 M12
I10 C11
C3 F8
E3 N8
C3 C9
C11 E5
C3 B4
E3 G12
H4 I11
E5 L4
H4 G7
L4 F7
C3 L7
F7 B5
C3 D5
E3 C1
C3 A7
B5 N7
H4 D2
N7 A11
C3 L10
E3 L4
C3 I5
E3 L2
H4 I11
E3 D5
H4 M1
E3 F4
H4 B9
E3 B11
C3 L11
E3 I5
H4 C6
A11 N3
H4 M9
E3 D3
H4 H12
E3 H12
C3 F5
E3 F10
H4 M5
E3 C11
C3 E5
N3 E6
H4 E10
E3 F10
H4 F10
E3 G9
C3 H10
E6 L8
H4 M3
L8 F10
H4 E2
E3 E8
C3 I12
E3 N3
H4 D12
F10 D8
C3 B10
D8 F6
H4 B5
F6 L5
C3 H9
L5 G11
H4 F8
E3 M4
C3 A3
G11 H8
H4 N12
H8 L11
H4 A7
L11 L12
C3 F8
E3 C4
C3 E11
E3 G4
C3 H5
E3 D5
C3 F2
L12 I8
C3 F11
E3 N5
H4 B6
I8 N2
C3 M8
E3 A11
C3 E11
N2 C1
C3 H2
E3 M5
C3 L7
C1 A12
C3 L4
E3 E11
C3 C6
A12 N8
C3 I4
N8 H8
C3 G12
H8 E2
C3 L10
E3 E12
C3 G11
E3 A4
C3 F11
E3 B7
C3 D6
E3 I11
H4 C3
E3 N9
C3 C10
E2 A5
C3 G12
A5 N11
C3 E3
N11 L4
C3 M12
E3 E5
C3 D9
L4 I4
C3 L9
I4 A12
C3 F5
A12 F5
H4 B8
F5 F10
C3 H10
E3 F3
C3 B3
E3 I8
C3 B8
F10 G5
C3 L10
G5 D12
H4 L4
E3 A3
C3 M8
E3 E8
C3 F4
E3 N8
H4 L5
D12 C10
H4 B1
E3 M5
C3 G3
C10 B4
H4 A6
E3 L4
H4 E6
B4 A2
C3 G7
A2 M3
H4 N9
M3 F1
C3 C7
F1 L1
H4 L7
L1 I7
C3 G2
E3 L1
H4 C9
E3 N5
H4 E2
I7 B10
C3 D12
B10 G4
C3 M2
G4 H4
H4 I9
E3 G3
C3 L7
E3 G2
C3 I3
H4 E4
H4 B3
E3 G11
H4 F6
E3 D2
C3 E12
E4 L5
H4 E10
E3 A9
C3 L7
L5 I10
H4 H10
E3 C5
C3 N5
E3 F9
C3 L10
E3 B12
H4 G1
I10 C2
H4 G5
E3 E9
C3 I6
E3 E5
H4 C4
E3 C2
C3 E10
E3 C1
H4 H3
E3 E4
C3 H11
C2 A11
H4 E5
E3 H1
C3 I8
A11 H7
H4 N7
E3 F5
H4 M3
E3 M8
C3 L1
E3 N12
H4 C2
H7 I7
C3 M6
E3 C12
H4 H5
I7 C4
C3 L3
E3 I11
H4 C5
E3 A9
C3 B6
C4 E12
H4 F10
E12 I9
C3 C12
E3 B6
C3 E10
I9 I10
C3 E12
E3 B6
H4 A3
E3 D11
C3 F3
I10 H2
H4 D7
H2 I6
H4 B1
I6 N11
H4 A3
N11 G11
H4 G11
